gen,evals,sigma,success_rate,c1,cmu,lambda,min_var,max_var,niche
215,1963,61.44161455591231,0.625,0.1793075261676641,0.01,8,1e-12,1.4219142288730706e-07,0
216,1971,63.38911086901759,1.0,0.19723827878443054,0.01,8,1e-12,1.5285449799517626e-07,0
217,1979,63.38096177813825,0.75,0.2169621066628736,0.01,8,1e-12,1.3483284503402904e-07,0
218,1987,62.4770306479701,0.5,0.2169621066628736,0.01,8,1e-12,1.1977356593432163e-07,0
219,1995,62.05214850918569,0.75,0.23865831732916098,0.01,8,1e-12,1.1834753972635646e-07,0
220,2003,60.38476690893246,0.875,0.2625241490620771,0.01,8,1e-12,1.2488984070109119e-07,0
221,2011,59.381775256672114,0.625,0.2887765639682848,0.01,8,1e-12,1.0798801818237951e-07,0
222,2019,57.51958150422066,0.25,0.2887765639682848,0.01,8,1e-12,1.3700813252242695e-07,0
223,2027,56.75480067735633,1.0,0.3176542203651133,0.01,8,1e-12,1.2916168965451357e-07,0
224,2035,53.91944819687078,1.0,0.34941964240162465,0.01,8,1e-12,1.610403699549264e-07,0
225,2043,55.645377013917056,0.75,0.38436160664178715,0.01,8,1e-12,1.4128416936086652e-07,0
226,2051,57.91611335036842,0.75,0.4227977673059659,0.01,8,1e-12,1.2786383885305896e-07,0
227,2059,60.86137018365641,1.0,0.46507754403656254,0.01,8,1e-12,1.2573253472967744e-07,0
228,2067,63.75859510591738,0.5,0.46507754403656254,0.01,8,1e-12,1.2272498866930234e-07,0
229,2075,68.04816633494409,0.625,0.5115852984402188,0.01,8,1e-12,9.729170446704069e-08,0
230,2083,73.13353279756139,1.0,0.5627438282842407,0.01,8,1e-12,7.43999299353469e-08,0
231,2091,77.67128242395032,1.0,0.6190182111126649,0.01,8,1e-12,6.923403365994315e-08,0
232,2099,84.27804856374672,0.875,0.6809200322239314,0.01,8,1e-12,6.4666999225758e-08,0
233,2107,95.12593291067084,1.0,0.7490120354463246,0.01,8,1e-12,4.702385063259008e-08,0
234,2115,108.5761875072799,1.0,0.823913238990957,0.01,8,1e-12,3.8257950937937716e-08,0
235,2123,123.37766802263577,0.625,0.9,0.01,8,1e-12,3.132233986964206e-08,0
236,2131,125.98745519031804,0.875,0.9,0.01,8,1e-12,1.8443452838307936e-08,0
237,2139,125.94112235640434,0.25,0.9,0.01,8,1e-12,3.154505376557879e-08,0
238,2147,128.36029315887123,0.875,0.9,0.01,8,1e-12,3.156901288499827e-08,0
239,2155,134.11962244516906,1.0,0.9,0.01,8,1e-12,1.8477959688747294e-08,0
240,2163,139.74826028200496,0.5,0.9,0.01,8,1e-12,2.6629947268285848e-08,0
241,2171,150.71794944898198,0.75,0.9,0.01,8,1e-12,2.314686470623266e-08,0
