gen,evals,F_mean,CR_mean,p,pop_size,success_rate,niche
195,6546,0.5,0.07642433458329836,0.25,6,0.16666666666666666,0
196,6552,0.5,0.08946862589157759,0.25,6,0.3333333333333333,0
197,6558,0.5,0.08946862589157759,0.25,6,0.0,0
198,6564,0.5,0.08946862589157759,0.25,6,0.0,0
199,6569,0.5,0.049458134270841024,0.25,5,0.6,0
200,6574,0.5,0.06243862904273122,0.2,5,0.6,0
201,6579,0.5,0.06243862904273122,0.2,5,0.0,0
202,6584,0.5,0.060083834976907516,0.16000000000000003,5,0.4,0
203,6589,0.5,0.060083834976907516,0.12800000000000003,5,0.0,0
204,6594,0.5,0.060083834976907516,0.12800000000000003,5,0.0,0
205,6599,0.5,0.06235576041007247,0.19200000000000006,5,0.2,0
206,6604,0.5,0.06235576041007247,0.25,5,0.0,0
207,6609,0.5,0.05779129107335533,0.25,5,0.2,0
208,6614,0.5,0.05711625697045618,0.25,5,0.2,0
209,6619,0.5,0.05711625697045618,0.25,5,0.0,0
210,6624,0.5,0.05711625697045618,0.25,5,0.0,0
211,6629,0.5,0.05711625697045618,0.25,5,0.0,0
212,6634,0.5,0.05011943090868265,0.25,5,0.2,0
0,200,0.5,0.505050022825209,0.11,100,0.52,1
1,297,0.5,0.5065882542588496,0.11,97,0.4948453608247423,1
2,393,0.5,0.5026968121368377,0.11,96,0.3854166666666667,1
3,487,0.5,0.5089551110867829,0.11,94,0.4148936170212766,1
4,580,0.5,0.5105119614136796,0.08800000000000001,93,0.3978494623655914,1
5,672,0.5,0.5095754999107631,0.0704,92,0.29347826086956524,1
6,762,0.5,0.5161805586396095,0.05632000000000001,90,0.3,1
7,851,0.5,0.5064753537408672,0.05,89,0.24719101123595505,1
8,939,0.5,0.5101115504154301,0.05,88,0.2840909090909091,1
9,1025,0.5,0.49745752899460716,0.05,86,0.19767441860465115,1
10,1110,0.5,0.49121407276433393,0.05,85,0.15294117647058825,1
11,1194,0.5,0.4771088525518281,0.05,84,0.25,1
12,1277,0.5,0.47736174349954164,0.05,83,0.20481927710843373,1
13,1359,0.5,0.4975423544283645,0.05,82,0.18292682926829268,1
14,1439,0.5,0.487883181509076,0.05,80,0.1875,1
15,1518,0.5,0.4592467899880737,0.05,79,0.13924050632911392,1
16,1596,0.5,0.43254345819190876,0.05,78,0.11538461538461539,1
17,1673,0.5,0.4324329221187374,0.07500000000000001,77,0.11688311688311688,1
18,1749,0.5,0.4218495477076852,0.11250000000000002,76,0.14473684210526316,1
19,1824,0.5,0.41812851422143166,0.16875,75,0.18666666666666668,1
20,1898,0.5,0.41212815477729753,0.16875,74,0.22972972972972974,1
21,1971,0.5,0.4009595385578339,0.16875,73,0.2054794520547945,1
22,2043,0.5,0.39299290516939667,0.16875,72,0.09722222222222222,1
23,2114,0.5,0.386948984913626,0.16875,71,0.04225352112676056,1
24,2184,0.5,0.39317385542096106,0.25,70,0.15714285714285714,1
25,2253,0.5,0.380389081353404,0.25,69,0.08695652173913043,1
26,2321,0.5,0.3569880772166402,0.25,68,0.11764705882352941,1
27,2388,0.5,0.3498978308875653,0.25,67,0.08955223880597014,1
28,2454,0.5,0.30443550955032705,0.25,66,0.07575757575757576,1
29,2519,0.5,0.30228205984462847,0.25,65,0.16923076923076924,1
30,2583,0.5,0.2986127147850043,0.25,64,0.140625,1
31,2646,0.5,0.2982623966565353,0.25,63,0.2222222222222222,1
32,2708,0.5,0.2852288594927979,0.25,62,0.08064516129032258,1
33,2769,0.5,0.26296021273763265,0.25,61,0.06557377049180328,1
34,2829,0.5,0.23078800420255813,0.25,60,0.08333333333333333,1
35,2888,0.5,0.2130276765202063,0.25,59,0.15254237288135594,1
36,2946,0.5,0.20831345967569526,0.25,58,0.20689655172413793,1
37,3004,0.5,0.20294267471950347,0.25,58,0.08620689655172414,1
38,3061,0.5,0.21012372363883988,0.25,57,0.14035087719298245,1
39,3117,0.5,0.1774655941954774,0.25,56,0.14285714285714285,1
40,3172,0.5,0.17235668474508906,0.25,55,0.16363636363636364,1
41,3226,0.5,0.1821494649072561,0.25,54,0.1111111111111111,1
42,3280,0.5,0.15429806749407,0.25,54,0.12962962962962962,1
43,3333,0.5,0.15185244801274453,0.25,53,0.09433962264150944,1
44,3385,0.5,0.1589811981077856,0.25,52,0.17307692307692307,1
45,3436,0.5,0.14904038087418425,0.25,51,0.23529411764705882,1
46,3487,0.5,0.1289577077920663,0.25,51,0.1568627450980392,1
47,3537,0.5,0.10899710731267823,0.25,50,0.18,1
48,3586,0.5,0.10156496822372618,0.25,49,0.08163265306122448,1
49,3634,0.5,0.0906603780017411,0.25,48,0.1875,1
50,3682,0.5,0.09313947430023566,0.25,48,0.1875,1
51,3729,0.5,0.13597587699344338,0.25,47,0.0851063829787234,1
52,3775,0.5,0.1424118945855108,0.25,46,0.17391304347826086,1
53,3821,0.5,0.13915457041171658,0.25,46,0.13043478260869565,1
54,3866,0.5,0.15491765058630075,0.25,45,0.15555555555555556,1
55,3910,0.5,0.148598264421072,0.25,44,0.13636363636363635,1
56,3954,0.5,0.10978453936867823,0.25,44,0.13636363636363635,1
57,3997,0.5,0.10795874319684025,0.25,43,0.18604651162790697,1
58,4039,0.5,0.11392603949105759,0.25,42,0.11904761904761904,1
59,4081,0.5,0.10396019516612698,0.25,42,0.11904761904761904,1
60,4122,0.5,0.10723397590126711,0.25,41,0.17073170731707318,1
61,4163,0.5,0.11198061632822139,0.25,41,0.14634146341463414,1
62,4203,0.5,0.10908070974985884,0.25,40,0.25,1
63,4242,0.5,0.09342762758613607,0.25,39,0.07692307692307693,1
64,4281,0.5,0.07954548604716943,0.25,39,0.15384615384615385,1
65,4319,0.5,0.07066173224282485,0.25,38,0.13157894736842105,1
66,4357,0.5,0.07106324129539257,0.25,38,0.15789473684210525,1
67,4394,0.5,0.06987862567631967,0.25,37,0.10810810810810811,1
68,4431,0.5,0.04726881719730462,0.25,37,0.16216216216216217,1
69,4467,0.5,0.06199791762923653,0.25,36,0.16666666666666666,1
70,4503,0.5,0.06058887568755358,0.25,36,0.1388888888888889,1
71,4538,0.5,0.04231131719858444,0.25,35,0.05714285714285714,1
72,4573,0.5,0.043035342317157166,0.25,35,0.14285714285714285,1
73,4607,0.5,0.03995772332185284,0.25,34,0.20588235294117646,1
74,4641,0.5,0.052607024265437466,0.25,34,0.08823529411764706,1
75,4674,0.5,0.04949714850969891,0.25,33,0.06060606060606061,1
76,4707,0.5,0.048611756418804136,0.25,33,0.12121212121212122,1
77,4739,0.5,0.07031505741240382,0.25,32,0.125,1
78,4771,0.5,0.07129199080695803,0.25,32,0.125,1
79,4802,0.5,0.08509022135535897,0.25,31,0.16129032258064516,1
80,4833,0.5,0.0938762581644608,0.25,31,0.16129032258064516,1
81,4863,0.5,0.10088708831976967,0.25,30,0.13333333333333333,1
